index,DATE_OF_INTEREST,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,Total case count by days
0,02/29/2020,0,0,0,0
1,03/01/2020,0,0,0,0
2,03/02/2020,0,0,0,0
3,03/03/2020,1,2,0,1
4,03/04/2020,2,0,0,3
5,03/05/2020,0,4,0,3
6,03/06/2020,1,2,0,4
7,03/07/2020,3,4,0,7
8,03/08/2020,6,4,0,13
9,03/09/2020,10,8,0,23
10,03/10/2020,24,23,0,47
11,03/11/2020,40,23,1,87
12,03/12/2020,80,36,0,167
13,03/13/2020,166,49,0,333
14,03/14/2020,194,72,1,527
15,03/15/2020,231,67,1,758
16,03/16/2020,528,114,4,1286
17,03/17/2020,651,128,3,1937
18,03/18/2020,835,153,9,2772
19,03/19/2020,1065,208,6,3837
20,03/20/2020,1184,247,9,5021
21,03/21/2020,947,244,14,5968
22,03/22/2020,696,232,14,6664
23,03/23/2020,1192,392,28,7856
24,03/24/2020,1390,422,35,9246
25,03/25/2020,1571,450,33,10817
26,03/26/2020,1644,452,60,12461
27,03/27/2020,1576,514,58,14037
28,03/28/2020,1201,451,92,15238
29,03/29/2020,1075,505,94,16313
30,03/30/2020,1858,611,98,18171
31,03/31/2020,1811,593,96,19982
32,04/01/2020,1782,579,144,21764
33,04/02/2020,1826,572,139,23590
34,04/03/2020,1762,560,159,25352
35,04/04/2020,1203,522,158,26555
36,04/05/2020,1135,440,181,27690
37,04/06/2020,1927,552,202,29617
38,04/07/2020,1949,538,184,31566
39,04/08/2020,1857,519,183,33423
40,04/09/2020,1560,428,173,34983
41,04/10/2020,1343,439,155,36326
42,04/11/2020,987,330,164,37313
43,04/12/2020,916,299,174,38229
44,04/13/2020,974,342,192,39203
45,04/14/2020,1300,337,161,40503
46,04/15/2020,1180,263,148,41683
47,04/16/2020,1139,238,132,42822
48,04/17/2020,1099,255,122,43921
49,04/18/2020,705,185,136,44626
50,04/19/2020,866,175,135,45492
51,04/20/2020,1223,189,124,46715
52,04/21/2020,937,174,103,47652
53,04/22/2020,1109,154,86,48761
54,04/23/2020,793,137,106,49554
55,04/24/2020,775,138,98,50329
56,04/25/2020,540,92,82,50869
57,04/26/2020,331,101,89,51200
58,04/27/2020,723,107,91,51923
59,04/28/2020,896,106,73,52819
60,04/29/2020,691,87,80,53510
61,04/30/2020,593,79,67,54103
62,05/01/2020,622,82,77,54725
63,05/02/2020,333,65,61,55058
64,05/03/2020,251,70,55,55309
65,05/04/2020,437,60,55,55746
66,05/05/2020,462,49,46,56208
67,05/06/2020,443,55,59,56651
68,05/07/2020,358,51,40,57009
69,05/08/2020,344,44,48,57353
70,05/09/2020,256,34,33,57609
71,05/10/2020,85,18,37,57694
72,05/11/2020,376,58,27,58070
73,05/12/2020,314,27,18,58384
74,05/13/2020,307,27,30,58691
75,05/14/2020,332,44,23,59023
76,05/15/2020,265,32,27,59288
77,05/16/2020,136,31,21,59424
78,05/17/2020,106,28,26,59530
79,05/18/2020,275,35,22,59805
80,05/19/2020,287,26,12,60092
81,05/20/2020,256,16,24,60348
82,05/21/2020,311,19,9,60659
83,05/22/2020,237,26,28,60896
84,05/23/2020,138,21,14,61034
85,05/24/2020,121,19,13,61155
86,05/25/2020,115,20,11,61270
87,05/26/2020,269,21,9,61539
88,05/27/2020,165,24,18,61704
89,05/28/2020,181,21,10,61885
90,05/29/2020,212,28,14,62097
91,05/30/2020,110,14,16,62207
92,05/31/2020,79,21,16,62286
93,06/01/2020,158,15,15,62444
94,06/02/2020,163,14,16,62607
95,06/03/2020,148,20,9,62755
96,06/04/2020,148,21,9,62903
97,06/05/2020,103,18,4,63006
98,06/06/2020,99,14,10,63105
99,06/07/2020,74,10,10,63179
